['year_Predict', 'Compute_Step', 'p', 'mu', 'k_1', 'k_2', 'alpha', 'a', 'a_1', 'a_2', 'beta_2', 'beta_3', 'rho_1', 'rhoR', 'D_0', 'D']
['2014', 1000, 0.55, 0.0144, 0.4, 0.2, 0.05, 0.14, 0.08, 0.014, 0.05, 0.03, 0.033, 0.04, 19.318568727109373, 0.0144]
['ploygonID', 'S', 'E', 'I_1', 'I_2', 'I_3', 'R', 'SUpdateRatio', 'IncreaseRate']
87 217.710865012 55.7991179715 218.22552781 0.904970064414 0.000658330330446 7.37775198254 0.441925871986 0.188683823553
88 223.128939918 64.8873659093 261.450850588 1.08427234419 0.000788742658267 8.83900434876 0.405282065579 0.158478805763
89 106.027514024 27.7993567348 112.207819284 0.465345206881 0.000338562494114 3.79494372109 0.430131250449 0.242244730773
90 278.847778123 73.7199596715 300.627992781 1.2467775063 0.000907058015756 10.1687127267 0.426083862519 0.20703643773
91 207.37575861 54.253066937 218.122365401 0.90458504 0.000658089961635 7.37672511131 0.431442801776 0.20375835152
92 180.394481922 47.2701793804 190.271070015 0.789083182674 0.000574031117192 6.43492879498 0.430818113406 0.167743833705
93 319.069661356 84.4288792007 344.580533344 1.42906129708 0.00103965222721 11.6555312802 0.425704810645 0.192816449629
94 206.195707209 57.7793047021 255.380247289 1.05926038508 0.000770688025489 8.64611949771 0.396213775927 0.184138898508
95 426.016666409 103.605405302 378.543914423 1.5696104115 0.0011416583732 12.7867587565 0.468285657288 0.155281000088
96 666.473071177 156.981267299 550.634929953 2.28299904514 0.00166026993279 18.589734026 0.484223841896 0.0950728046741
97 663.517868517 157.021325662 554.202293953 2.29781735463 0.0016711237207 18.7117077977 0.481843227462 0.116494574446
98 734.395575914 188.972672772 742.577759151 3.0794570717 0.00224013803811 25.1065199047 0.440014011567 0.171150807004
99 352.760875519 97.810206346 352.255706434 1.46055621496 0.00106228060543 11.8898251753 0.438599975505 0.157983140747
100 534.699776027 138.157473149 545.879069054 2.26377237572 0.00164678654382 18.4573783715 0.43791893136 0.172115359307
101 444.96753901 106.428906411 380.44468399 1.57742687297 0.00114720296358 12.8473039037 0.476706820466 0.101684116737
102 205.704976558 53.9713003726 218.136887551 0.904653400686 0.000658198330226 7.37764148103 0.42969926342 0.257696690242
103 300.592810436 66.0674580299 213.651387496 0.885679606921 0.00064405920614 7.20459092386 0.517195208814 0.13979704986
104 332.149603903 73.3180838858 237.891671124 0.986172996777 0.000717020249272 8.02250172753 0.515483103152 0.0474312685674
105 324.403446076 78.4544386154 284.107299249 1.17801466347 0.000856703121954 9.59575895803 0.471417929973 0.073525979147
106 1060.02133926 225.810737167 703.548977166 2.9162895669 0.00212024312689 23.7114758525 0.532059240457 0.0587607968507
